Name,Score,Rank,Type,Episodes,Premiered,Producers,Studios,Genres,Popularity,Members,Favorites,From,To
Fullmetal Alchemist: Brotherhood,9.11,1,TV,64,Spring,"['Mainichi Broadcasting System', 'Studio Moriken', 'Square Enix', 'Aniplex']",['Bones'],"['Adventure', 'Drama', 'Fantasy', 'Action']",3,3037641,211082,2009-04-05,2010-07-04
Bleach: Sennen Kessen-hen,9.1,2,TV,13,Fall,"['TV Tokyo', 'Shueisha', 'Dentsu', 'Aniplex']",['Pierrot'],"['Adventure', 'Fantasy', 'Action']",669,310979,11798,2022-10-11,2022-12-27
Kaguya-sama wa Kokurasetai: Ultra Romantic,9.09,3,TV,13,Spring,"['JR East Marketing & Communications', 'Mainichi Broadcasting System', 'Magic Capsule', 'Shueisha', 'Aniplex']",['A-1 Pictures'],"['Comedy', 'Romance']",238,703336,25895,2022-04-09,2022-06-25
Steins;Gate,9.08,4,TV,24,Spring,"['Movic', 'AT-X', 'Nitroplus', 'Kadokawa Pictures Japan', 'Media Factory', 'Frontier Works']",['White Fox'],"['Drama', 'Sci-Fi', 'Suspense']",13,2338343,177381,2011-04-06,2011-09-14
Gintama°,9.07,5,TV,51,Spring,"['TV Tokyo', 'Dentsu', 'Aniplex']",['Bandai Namco Pictures'],"['Sci-Fi', 'Comedy', 'Action']",337,567213,15323,2015-04-08,2016-03-30
Shingeki no Kyojin Season 3 Part 2,9.06,6,TV,10,Spring,"['Mainichi Broadcasting System', 'Production I.G', 'Kodansha', 'Pony Canyon Enterprise', 'Dentsu', 'Pony Canyon', 'Techno Sound']",['Wit Studio'],"['Drama', 'Action']",27,1972472,53374,2019-04-29,2019-07-01
Gintama',9.05,7,TV,51,Spring,"['TV Tokyo', 'Miracle Robo', 'Shueisha', 'Dentsu', 'Studio Jack', 'Trinity Sound', 'Aniplex']",['Sunrise'],"['Sci-Fi', 'Comedy', 'Action']",382,499850,7422,2011-04-04,2012-03-26
Gintama: The Final,9.05,8,Movie,1,,"['TV Tokyo', 'Warner Bros. Japan']",['Bandai Namco Pictures'],"['Drama', 'Sci-Fi', 'Comedy', 'Action']",1612,118533,3877,2021-01-08,2021-01-08
Gintama': Enchousen,9.04,9,TV,13,Fall,"['TV Tokyo', 'Shueisha', 'Dentsu', 'Miracle Bus', 'Aniplex']",['Sunrise'],"['Sci-Fi', 'Comedy', 'Action']",708,296566,2904,2012-10-04,2013-03-28
Hunter x Hunter (2011),9.04,10,TV,148,Fall,"['Nippon Television Network', 'Shueisha', 'VAP']",['Madhouse'],"['Adventure', 'Fantasy', 'Action']",10,2519712,192492,2011-10-02,2014-09-24
Ginga Eiyuu Densetsu,9.03,11,OVA,110,,"['TV Tokyo', 'Tokuma Japan Communications', 'Kitty Films', 'Wright Staff', 'Tokuma Shoten']","['K-Factory', 'Kitty Film Mitaka Studio']","['Drama', 'Sci-Fi']",715,293586,15178,1988-01-08,1997-03-17
Fruits Basket: The Final,9.02,12,TV,13,Spring,"['TMS Music', 'TV Tokyo', 'Avex Pictures', 'TV Osaka', 'Nihon Ad Systems', '8PAN', 'Hakusensha']",['TMS Entertainment'],"['Drama', 'Supernatural', 'Romance']",508,390263,17825,2021-04-06,2021-06-29
